date,sku_id,units_sold,revenue,unit_price,promo_flag
2025-05-29,SKU-022,19.0,989.71,52.09,1
2024-06-19,SKU-032,16.0,1499.36,93.71,0
2026-02-09,SKU-040,2.0,87.5,43.75,0
2025-04-21,SKU-060,5.0,968.15,193.63,0
2024-05-06,SKU-020,8.0,548.56,68.57,0
2025-03-16,SKU-033,19.0,1022.96,53.84,1
2026-08-26,SKU-058,0.0,345.59,345.59,0
2025-03-23,SKU-037,2.0,138.6,69.3,0
2024-11-24,SKU-056,2.0,350.94,175.47,1
2026-08-18,SKU-056,3.0,580.83,193.61,1
2026-06-28,SKU-030,4.0,143.96,35.99,0
2026-01-25,SKU-030,2.0,71.98,35.99,0
2025-08-12,SKU-058,7.0,1988.98,284.14,1
2026-06-08,SKU-012,3.0,687.6,229.2,0
2026-02-27,SKU-026,10.0,742.7,74.27,0
2026-02-14,SKU-025,8.0,728.4,91.05,0
2026-01-13,SKU-020,5.0,342.85,68.57,0
2025-10-31,SKU-030,1.0,35.99,35.99,0
2025-02-10,SKU-010,3.0,1776.72,592.24,0
2026-06-15,SKU-059,7.0,1547.42,221.06,0
2025-04-05,SKU-018,6.0,454.2,75.7,0
2025-03-14,SKU-037,2.0,138.6,69.3,0
2024-09-30,SKU-045,3.0,540.18,180.06,0
2025-06-06,SKU-053,15.0,1293.6,86.24,0
2024-05-28,SKU-001,4.0,740.12,185.03,0
2026-01-23,SKU-023,3.0,219.39,73.13,0
2025-11-05,SKU-002,4.0,737.44,184.36,0
2024-07-15,SKU-058,3.0,1036.77,345.59,0
2026-06-09,SKU-024,2.0,58.36,29.18,0
2024-01-04,SKU-001,3.0,555.09,185.03,0
2026-06-03,SKU-006,14.0,2020.76,144.34,0
2026-08-14,SKU-018,14.0,942.9,67.35,1
2025-10-14,SKU-002,8.0,1196.24,149.53,1
2024-11-22,SKU-045,2.0,360.12,180.06,0
2024-12-10,SKU-042,9.0,514.8,57.2,0
2025-03-22,SKU-015,8.0,464.24,58.03,0
2025-10-22,SKU-015,0.0,290.15,58.03,0
2025-10-29,SKU-011,0.0,441.68,220.84,0
2024-06-19,SKU-019,4.0,302.28,75.57,0
2024-11-08,SKU-056,0.0,216.25,216.25,0
2025-07-16,SKU-053,15.0,1293.6,86.24,0
2026-02-17,SKU-028,1.0,26.65,26.65,0
2025-06-09,SKU-006,15.0,2165.1,144.34,0
2026-02-13,SKU-014,18.0,321.3,17.85,0
2024-11-15,SKU-043,13.0,2105.87,161.99,0
2025-10-21,SKU-060,11.0,2129.93,193.63,0
2024-04-11,SKU-053,14.0,1207.36,86.24,0
2025-02-18,SKU-046,2.0,181.58,90.79,0
2025-07-20,SKU-025,14.0,1274.7,91.05,0
2025-05-22,SKU-028,1.0,26.65,26.65,0
2024-06-30,SKU-016,15.0,422.25,28.15,0
2026-07-23,SKU-016,12.0,337.8,28.15,0
2025-11-09,SKU-042,12.0,686.4,57.2,0
2024-11-01,SKU-033,17.0,1131.52,66.56,0
2026-01-29,SKU-055,1.0,188.97,188.97,0
2025-01-17,SKU-040,1.0,43.75,43.75,0
2024-12-10,SKU-045,4.0,720.24,180.06,0
2024-07-20,SKU-058,4.0,1382.36,345.59,0
2025-01-19,SKU-044,4.0,500.08,125.02,0
2026-04-15,SKU-028,3.0,79.95,26.65,0
2024-06-01,SKU-031,13.0,1852.24,142.48,0
2026-02-24,SKU-045,2.0,360.12,180.06,0
2024-09-01,SKU-001,4.0,560.4,140.1,1
2024-02-16,SKU-052,3.0,590.55,196.85,1
2024-05-17,SKU-006,14.0,2020.76,144.34,0
2026-01-21,SKU-019,3.0,226.71,75.57,0
2025-11-29,SKU-059,10.0,1677.1,167.71,1
2024-11-16,SKU-046,2.0,181.58,90.79,0
2025-10-11,SKU-054,3.0,554.88,184.96,1
2025-01-11,SKU-004,3.0,1141.02,380.34,0
2026-07-11,SKU-057,2.0,166.68,83.34,0
2024-07-11,SKU-001,3.0,555.09,185.03,0
2024-05-26,SKU-042,4.0,228.8,57.2,0
2025-07-19,SKU-001,5.0,925.15,185.03,0
2025-11-30,SKU-015,12.0,573.12,47.76,1
2024-06-25,SKU-042,5.0,286.0,57.2,0
2026-05-25,SKU-055,2.0,311.92,155.96,1
2025-09-07,SKU-026,6.0,445.62,74.27,0
2026-06-02,SKU-001,3.0,555.09,185.03,0
2025-11-13,SKU-055,1.0,188.97,188.97,0
2024-03-27,SKU-003,17.0,4555.15,267.95,0
2026-04-20,SKU-003,15.0,4019.25,267.95,0
2025-08-09,SKU-020,5.0,342.85,68.57,0
2026-08-17,SKU-059,12.0,2366.88,197.24,1
2025-12-04,SKU-003,7.0,1875.65,267.95,0
2025-04-01,SKU-057,4.0,333.36,83.34,0
2026-04-18,SKU-016,15.0,422.25,28.15,0
2025-10-16,SKU-035,2.0,65.24,32.62,1
2026-01-17,SKU-016,10.0,281.5,28.15,0
2026-06-14,SKU-028,2.0,53.3,26.65,0
2024-08-31,SKU-051,7.0,413.28,59.04,0
2024-10-31,SKU-053,13.0,1121.12,86.24,0
2026-06-09,SKU-030,3.0,107.97,35.99,0
2024-08-23,SKU-049,1.0,139.33,139.33,0
2026-01-15,SKU-022,12.0,762.24,63.52,0
2024-03-29,SKU-026,1.0,74.27,74.27,0
2026-01-16,SKU-007,10.0,4203.7,420.37,0
2025-01-04,SKU-003,8.0,2143.6,267.95,0
2024-03-11,SKU-010,7.0,4145.68,592.24,0
2025-11-06,SKU-021,1.0,45.85,45.85,0
2026-03-13,SKU-009,1.0,148.6,148.6,0
2024-11-14,SKU-059,4.0,884.24,221.06,0
2024-05-24,SKU-045,1.0,137.37,137.37,1
2024-05-21,SKU-032,15.0,1405.65,93.71,0
2025-06-27,SKU-021,1.0,45.85,45.85,0
2026-08-30,SKU-035,1.0,39.02,39.02,0
2024-03-05,SKU-040,1.0,43.75,43.75,0
2026-06-02,SKU-039,1.0,76.54,76.54,0
2026-07-15,SKU-004,3.0,1141.02,380.34,0
2024-01-10,SKU-038,4.0,332.48,83.12,0
2025-07-14,SKU-048,0.0,0.0,176.74,0
2026-04-07,SKU-025,9.0,819.45,91.05,0
2025-07-18,SKU-009,2.0,297.2,148.6,0
2026-02-07,SKU-034,17.0,681.36,40.08,0
2025-04-06,SKU-052,5.0,1106.2,221.24,0
2026-07-20,SKU-031,11.0,1567.28,142.48,0
2025-02-18,SKU-015,3.0,174.09,58.03,0
2026-02-06,SKU-040,2.0,87.5,43.75,0
