sku_id,on_hand_units,on_order_units,lead_time_days,reorder_point,snapshot_date,avg_weekly_demand,total_8week_demand,total_available,avg_daily_demand,days_of_supply,unit_cost,weeks_of_supply,risk_level,stockout_risk_score,overstock_risk_score,recommendation,action_description
SKU-028,17.0,0,17,16,2026-08-31,6.116131962103017,48.929055696824136,17.0,0.8737331374432882,19.45674173437588,12.45,2.7795345334822685,HIGH,54.2,0.0,Reorder,Issue purchase order to prevent stockout
SKU-029,157.0,0,13,22,2026-08-31,7.197918624037483,57.58334899229986,157.0,1.0282740891482118,152.68302649739388,47.82,21.811860928199128,LOW,0.0,76.7,Markdown,Initiate promotional clearance/discount to recover working capital
SKU-030,26.0,112,15,36,2026-08-31,10.745319507069874,85.962556056559,138.0,1.535045643867125,89.89960692787413,16.59,12.842800989696304,LOW,0.0,26.9,Watch,Monitor sales velocity and supplier lead-time buffers
SKU-031,102.0,77,12,134,2026-08-31,56.02067982966012,448.16543863728094,179.0,8.002954261380017,22.366740350348262,58.15,3.1952486214783233,MEDIUM,25.4,0.0,Watch,Monitor sales velocity and supplier lead-time buffers
SKU-032,0.0,140,19,264,2026-08-31,52.19177869939627,417.53422959517013,140.0,7.455968385628038,18.77690365075326,45.07,2.6824148072504657,CRITICAL,60.5,0.0,Reorder,Issue purchase order to prevent stockout
SKU-033,34.0,143,18,208,2026-08-31,50.97444158878796,407.7955327103037,177.0,7.282063084112566,24.30629863481473,30.78,3.4723283764021042,HIGH,46.0,0.0,Reorder,Issue purchase order to prevent stockout
SKU-034,182.0,108,13,208,2026-08-31,68.0717376014022,544.5739008112176,290.0,9.724533943057457,29.821480566380963,19.68,4.260211509482994,MEDIUM,8.2,0.0,Watch,Monitor sales velocity and supplier lead-time buffers
SKU-035,11.0,52,11,17,2026-08-31,5.594588125614586,44.75670500491669,63.0,0.799226875087798,78.82617810253092,19.97,11.260882586075846,LOW,0.0,18.1,Watch,Monitor sales velocity and supplier lead-time buffers
SKU-036,54.0,136,17,190,2026-08-31,26.40724399756011,211.25795198048087,190.0,3.772463428222873,50.36496804145427,19.9,7.194995434493467,LOW,0.0,0.0,Healthy,Inventory position is optimal
SKU-037,43.0,73,16,54,2026-08-31,12.354828078306552,98.83862462645241,116.0,1.7649754397580788,65.72329415297692,34.74,9.389042021853845,LOW,0.0,7.7,Healthy,Inventory position is optimal
SKU-038,114.0,0,19,57,2026-08-31,12.73961654352926,101.91693234823408,114.0,1.8199452205041802,62.63924799254042,36.04,8.948463998934345,LOW,0.0,5.3,Healthy,Inventory position is optimal
SKU-039,78.0,0,16,11,2026-08-31,3.591154571902235,28.72923657521788,78.0,0.5130220817003193,152.04023916764567,32.58,21.720034166806524,LOW,0.0,76.2,Markdown,Initiate promotional clearance/discount to recover working capital
SKU-040,46.0,0,15,22,2026-08-31,9.965818404642997,79.72654723714398,46.0,1.4236883435204282,32.31044224626677,18.94,4.615777463752395,MEDIUM,13.8,0.0,Watch,Monitor sales velocity and supplier lead-time buffers
SKU-041,73.0,0,26,8,2026-08-31,2.6128982797856364,20.90318623828509,73.0,0.3732711828265195,195.56827142996272,27.45,27.938324489994674,LOW,0.0,100.0,Markdown,Initiate promotional clearance/discount to recover working capital
SKU-042,151.0,63,18,162,2026-08-31,43.081497177915715,344.6519774233257,214.0,6.154499596845102,34.77130782650468,26.93,4.967329689500668,MEDIUM,22.7,0.0,Watch,Monitor sales velocity and supplier lead-time buffers
SKU-043,15.0,102,15,179,2026-08-31,54.38933976210465,435.1147180968372,117.0,7.769905680300664,15.058097847524008,67.52,2.1511568353605726,HIGH,59.8,0.0,Reorder,Issue purchase order to prevent stockout
SKU-044,139.0,0,18,49,2026-08-31,1.7991238647571635,14.392990918057308,139.0,0.2570176949653091,540.8187946699993,57.39,77.2598278099999,LOW,0.0,100.0,Markdown,Initiate promotional clearance/discount to recover working capital
SKU-045,108.0,0,24,30,2026-08-31,10.010762268902694,80.08609815122155,108.0,1.4301088955575276,75.51872471773991,75.21,10.788389245391416,LOW,0.0,15.5,Watch,Monitor sales velocity and supplier lead-time buffers
SKU-046,10.0,72,17,25,2026-08-31,5.6700259067113805,45.360207253691044,82.0,0.8100037009587686,101.23410535401248,46.57,14.462015050573212,LOW,0.0,35.9,Watch,Monitor sales velocity and supplier lead-time buffers
SKU-047,33.0,0,27,25,2026-08-31,3.5154224857806686,28.12337988624535,33.0,0.5022032122543812,65.71045185446663,25.7,9.387207407780947,MEDIUM,2.7,7.7,Watch,Monitor sales velocity and supplier lead-time buffers
SKU-048,105.0,140,24,107,2026-08-31,13.276573047138665,106.21258437710932,245.0,1.8966532924483808,129.17490032336414,75.22,18.45355718905202,LOW,0.0,58.1,Markdown,Initiate promotional clearance/discount to recover working capital
SKU-049,21.0,0,19,13,2026-08-31,4.435979032288421,35.48783225830737,21.0,0.6337112903269173,33.138118762514985,60.28,4.734016966073569,MEDIUM,30.2,0.0,Watch,Monitor sales velocity and supplier lead-time buffers
SKU-050,2.0,50,15,3,2026-08-31,2.875517316590207,23.004138532721655,52.0,0.4107881880843153,126.5859182623987,81.98,18.083702608914102,LOW,0.0,56.0,Markdown,Initiate promotional clearance/discount to recover working capital
SKU-051,90.0,0,20,60,2026-08-31,27.467319996326335,219.73855997061068,90.0,3.923902856618048,22.93634763363373,27.39,3.276621090519104,HIGH,54.1,0.0,Reorder,Issue purchase order to prevent stockout
SKU-052,63.0,85,23,134,2026-08-31,27.729490821751313,221.8359265740105,148.0,3.961355831678759,37.36094566826126,97.35,5.337277952608751,MEDIUM,35.0,0.0,Watch,Monitor sales velocity and supplier lead-time buffers
SKU-053,0.0,118,23,296,2026-08-31,66.39086408033486,531.1269126426789,118.0,9.484409154333552,12.441470847562945,35.59,1.7773529782232778,CRITICAL,78.4,0.0,Reorder,Issue purchase order to prevent stockout
SKU-054,59.0,104,30,77,2026-08-31,14.869924925487148,118.95939940389718,163.0,2.124274989355307,76.73206191137648,97.29,10.96172313019664,LOW,0.0,16.5,Watch,Monitor sales velocity and supplier lead-time buffers
SKU-055,38.0,122,32,57,2026-08-31,11.67537614056173,93.40300912449383,160.0,1.6679108772231042,95.92838693298957,93.48,13.704055276141366,LOW,0.0,31.7,Watch,Monitor sales velocity and supplier lead-time buffers
SKU-056,53.0,0,29,26,2026-08-31,8.819602267975682,70.55681814380546,53.0,1.259943181139383,42.065388974184856,107.06,6.009341282026408,HIGH,42.0,0.0,Reorder,Issue purchase order to prevent stockout
SKU-057,52.0,138,31,82,2026-08-31,14.792273098463665,118.33818478770932,190.0,2.113181871209095,89.91180673497264,37.01,12.844543819281807,LOW,0.0,26.9,Watch,Monitor sales velocity and supplier lead-time buffers
SKU-058,51.0,79,25,70,2026-08-31,11.725461472812338,93.8036917824987,130.0,1.6750659246874768,77.60888576624504,140.77,11.086983680892148,LOW,0.0,17.1,Watch,Monitor sales velocity and supplier lead-time buffers
SKU-059,151.0,0,21,105,2026-08-31,31.86899187145243,254.95193497161944,151.0,4.552713124493204,33.16703597853179,100.75,4.7381479969331135,MEDIUM,36.8,0.0,Watch,Monitor sales velocity and supplier lead-time buffers
SKU-060,0.0,140,15,177,2026-08-31,53.99084246360347,431.92673970882777,140.0,7.712977494800496,18.151226305843284,89.89,2.5930323294061837,HIGH,51.6,0.0,Reorder,Issue purchase order to prevent stockout
