date,sku_id,on_hand_units,on_order_units,lead_time_days,reorder_point
2024-01-29,SKU-016,141.0,90,11,151
2024-01-29,SKU-018,121.0,0,8,75
2024-01-29,SKU-019,10.0,70,8,25
2024-01-29,SKU-020,185.0,0,12,100
2024-01-29,SKU-024,64.0,0,11,44
2024-01-29,SKU-025,137.0,0,12,131
2024-01-29,SKU-026,125.0,0,10,76
2024-01-29,SKU-027,47.0,0,7,31
2024-01-29,SKU-028,72.0,0,17,16
2024-01-29,SKU-032,41.0,65,19,264
2024-01-29,SKU-034,183.0,57,13,208
2024-01-29,SKU-036,45.0,88,17,190
2024-01-29,SKU-037,145.0,0,16,54
2024-01-29,SKU-038,126.0,0,19,57
2024-01-29,SKU-040,133.0,0,15,22
2024-01-29,SKU-041,127.0,0,26,8
2024-01-29,SKU-044,29.0,53,18,49
2024-01-29,SKU-045,86.0,0,24,30
2024-01-29,SKU-047,,0,27,25
2024-01-29,SKU-048,106.0,119,24,107
2024-01-29,SKU-051,135.0,0,20,60
2024-01-29,SKU-052,196.0,0,23,134
2024-01-29,SKU-056,49.0,0,29,26
2024-01-29,SKU-058,144.0,0,25,70
2024-01-29,SKU-060,43.0,62,15,177
2024-02-05,SKU-001,47.0,65,21,55
2024-02-05,SKU-003,65.0,144,25,161
2024-02-05,SKU-004,75.0,0,29,69
2024-02-05,SKU-005,102.0,0,24,51
2024-02-05,SKU-007,100.0,83,38,276
2024-02-05,SKU-008,91.0,0,31,37
2024-02-05,SKU-010,91.0,66,27,121
2024-02-05,SKU-012,59.0,145,41,103
2024-02-05,SKU-013,0.0,56,14,181
2024-02-05,SKU-014,61.0,103,7,94
2024-02-05,SKU-015,118.0,0,11,72
2024-02-05,SKU-016,174.0,0,11,151
2024-02-05,SKU-018,77.0,0,8,75
2024-02-05,SKU-019,66.0,0,8,25
2024-02-05,SKU-020,143.0,0,12,100
2024-02-05,SKU-024,39.0,117,11,44
2024-02-05,SKU-025,86.0,130,12,131
2024-02-05,SKU-026,86.0,0,10,76
2024-02-05,SKU-027,21.0,61,7,31
2024-02-05,SKU-028,,0,17,16
2024-02-05,SKU-032,0.0,65,19,264
2024-02-05,SKU-033,41.0,81,18,208
2024-02-05,SKU-034,163.0,118,13,208
2024-02-05,SKU-036,1.0,88,17,190
2024-02-05,SKU-037,124.0,0,16,54
2024-02-05,SKU-038,111.0,0,19,57
2024-02-05,SKU-040,125.0,0,15,22
2024-02-05,SKU-041,121.0,0,26,8
2024-02-05,SKU-044,68.0,0,18,49
2024-02-05,SKU-045,84.0,0,24,30
2024-02-05,SKU-047,60.0,0,27,25
2024-02-05,SKU-048,86.0,119,24,107
2024-02-05,SKU-051,121.0,0,20,60
2024-02-05,SKU-052,169.0,0,23,134
2024-02-05,SKU-056,46.0,0,29,26
2024-02-05,SKU-058,127.0,0,25,70
2024-02-05,SKU-060,0.0,62,15,177
2024-02-12,SKU-001,31.0,65,21,55
2024-02-12,SKU-003,178.0,0,25,161
2024-02-12,SKU-004,,125,29,69
2024-02-12,SKU-005,,0,24,51
2024-02-12,SKU-007,64.0,83,38,276
2024-02-12,SKU-008,84.0,0,31,37
2024-02-12,SKU-010,79.0,66,27,121
2024-02-12,SKU-012,50.0,145,41,103
2024-02-12,SKU-013,0.0,142,14,181
2024-02-12,SKU-014,92.0,79,7,94
2024-02-12,SKU-015,76.0,0,11,72
2024-02-12,SKU-016,83.0,81,11,151
2024-02-12,SKU-018,26.0,59,8,75
2024-02-12,SKU-019,55.0,0,8,25
2024-02-12,SKU-020,102.0,0,12,100
2024-02-12,SKU-024,144.0,0,11,44
2024-02-12,SKU-025,169.0,0,12,131
2024-02-12,SKU-026,42.0,77,10,76
2024-02-12,SKU-027,64.0,0,7,31
2024-02-12,SKU-028,63.0,0,17,16
2024-02-12,SKU-032,0.0,117,19,264
2024-02-12,SKU-033,0.0,81,18,208
2024-02-12,SKU-034,220.0,0,13,208
2024-02-12,SKU-036,36.0,105,17,190
2024-02-12,SKU-037,114.0,0,16,54
2024-02-12,SKU-038,92.0,0,19,57
2024-02-12,SKU-040,119.0,0,15,22
2024-02-12,SKU-041,119.0,0,26,8
2024-02-12,SKU-044,53.0,0,18,49
2024-02-12,SKU-045,74.0,0,24,30
2024-02-12,SKU-047,57.0,0,27,25
2024-02-12,SKU-048,69.0,119,24,107
2024-02-12,SKU-051,115.0,0,20,60
2024-02-12,SKU-052,143.0,0,23,134
2024-02-12,SKU-056,44.0,0,29,26
2024-02-12,SKU-058,114.0,0,25,70
2024-02-12,SKU-060,0.0,75,15,177
2024-02-19,SKU-001,20.0,65,21,55
2024-02-19,SKU-003,152.0,137,25,161
2024-02-19,SKU-004,47.0,125,29,69
2024-02-19,SKU-005,81.0,0,24,51
2024-02-19,SKU-006,48.0,134,28,307
2024-02-19,SKU-007,36.0,83,38,276
2024-02-19,SKU-008,78.0,0,31,37
2024-02-19,SKU-010,124.0,0,27,121
2024-02-19,SKU-011,113.0,0,25,27
2024-02-19,SKU-012,39.0,145,41,103
2024-02-19,SKU-013,0.0,142,14,181
2024-02-19,SKU-014,101.0,0,7,94
2024-02-19,SKU-015,34.0,86,11,72
2024-02-19,SKU-016,95.0,123,11,151
2024-02-19,SKU-018,48.0,67,8,75
2024-02-19,SKU-019,,0,8,25
2024-02-19,SKU-020,56.0,77,12,100
2024-02-19,SKU-024,118.0,0,11,44
2024-02-19,SKU-025,128.0,91,12,131
2024-02-19,SKU-026,91.0,0,10,76
2024-02-19,SKU-027,41.0,0,7,31
2024-02-19,SKU-028,56.0,0,17,16
2024-02-19,SKU-032,0.0,117,19,264
2024-02-19,SKU-033,28.0,138,18,208
2024-02-19,SKU-034,143.0,136,13,208
2024-02-19,SKU-036,0.0,105,17,190
2024-02-19,SKU-037,94.0,0,16,54
2024-02-19,SKU-038,77.0,0,19,57
2024-02-19,SKU-040,111.0,0,15,22
2024-02-19,SKU-041,119.0,0,26,8
2024-02-19,SKU-044,39.0,138,18,49
2024-02-19,SKU-045,69.0,0,24,30
2024-02-19,SKU-047,50.0,0,27,25
2024-02-19,SKU-048,169.0,0,24,107
2024-02-19,SKU-051,106.0,0,20,60
2024-02-19,SKU-052,122.0,148,23,134
2024-02-19,SKU-056,40.0,0,29,26
2024-02-19,SKU-058,102.0,0,25,70
2024-02-19,SKU-060,0.0,75,15,177
2024-02-26,SKU-001,74.0,0,21,55
2024-02-26,SKU-003,116.0,137,25,161
2024-02-26,SKU-004,36.0,125,29,69
2024-02-26,SKU-005,71.0,0,24,51
2024-02-26,SKU-006,3.0,134,28,307
2024-02-26,SKU-007,0.0,83,38,276
2024-02-26,SKU-008,72.0,0,31,37
2024-02-26,SKU-010,102.0,67,27,121
2024-02-26,SKU-011,111.0,0,25,27
2024-02-26,SKU-012,,0,41,103
2024-02-26,SKU-013,89.0,145,14,181
2024-02-26,SKU-014,42.0,85,7,94
2024-02-26,SKU-015,,0,11,72
2024-02-26,SKU-016,154.0,0,11,151
2024-02-26,SKU-018,77.0,0,8,75
2024-02-26,SKU-019,15.0,127,8,25
2024-02-26,SKU-020,93.0,75,12,100
2024-02-26,SKU-024,90.0,0,11,44
2024-02-26,SKU-025,164.0,0,12,131
2024-02-26,SKU-026,60.0,112,10,76
2024-02-26,SKU-027,25.0,145,7,31
2024-02-26,SKU-028,50.0,0,17,16
2024-02-26,SKU-032,56.0,64,19,264
2024-02-26,SKU-033,0.0,138,18,208
2024-02-26,SKU-034,195.0,55,13,208
2024-02-26,SKU-036,49.0,85,17,190
2024-02-26,SKU-037,85.0,0,16,54
2024-02-26,SKU-038,62.0,0,19,57
2024-02-26,SKU-040,107.0,0,15,22
2024-02-26,SKU-041,118.0,0,26,8
2024-02-26,SKU-044,22.0,138,18,49
2024-02-26,SKU-045,65.0,0,24,30
2024-02-26,SKU-047,47.0,0,27,25
2024-02-26,SKU-048,140.0,0,24,107
2024-02-26,SKU-051,95.0,0,20,60
2024-02-26,SKU-052,93.0,148,23,134
2024-02-26,SKU-056,37.0,0,29,26
2024-02-26,SKU-058,87.0,0,25,70
2024-02-26,SKU-060,12.0,62,15,177
2024-03-04,SKU-001,62.0,0,21,55
2024-03-04,SKU-003,82.0,137,25,161
2024-03-04,SKU-004,25.0,125,29,69
2024-03-04,SKU-005,64.0,0,24,51
2024-03-04,SKU-006,0.0,134,28,307
2024-03-04,SKU-007,0.0,83,38,276
2024-03-04,SKU-008,65.0,0,31,37
2024-03-04,SKU-010,85.0,67,27,121
2024-03-04,SKU-011,108.0,0,25,27
2024-03-04,SKU-012,155.0,0,41,103
2024-03-04,SKU-013,20.0,145,14,181
2024-03-04,SKU-014,81.0,109,7,94
2024-03-04,SKU-015,66.0,100,11,72
2024-03-04,SKU-016,99.0,73,11,151
2024-03-04,SKU-018,27.0,121,8,75
2024-03-04,SKU-019,131.0,0,8,25
2024-03-04,SKU-020,127.0,0,12,100
2024-03-04,SKU-021,95.0,0,14,28
2024-03-04,SKU-024,74.0,0,11,44
2024-03-04,SKU-025,124.0,92,12,131
2024-03-04,SKU-026,129.0,0,10,76
2024-03-04,SKU-027,144.0,0,7,31
2024-03-04,SKU-028,46.0,0,17,16
2024-03-04,SKU-032,0.0,64,19,264
2024-03-04,SKU-033,77.0,139,18,208
2024-03-04,SKU-034,182.0,63,13,208
2024-03-04,SKU-036,0.0,85,17,190
2024-03-04,SKU-037,67.0,0,16,54
2024-03-04,SKU-038,50.0,50,19,57
2024-03-04,SKU-040,99.0,0,15,22
2024-03-04,SKU-041,117.0,0,26,8
2024-03-04,SKU-044,146.0,0,18,49
2024-03-04,SKU-045,55.0,0,24,30
2024-03-04,SKU-047,44.0,0,27,25
2024-03-04,SKU-048,124.0,0,24,107
2024-03-04,SKU-051,85.0,0,20,60
2024-03-04,SKU-052,68.0,148,23,134
2024-03-04,SKU-056,34.0,0,29,26
2024-03-04,SKU-058,69.0,81,25,70
2024-03-04,SKU-060,0.0,62,15,177
2024-03-11,SKU-001,46.0,133,21,55
2024-03-11,SKU-003,193.0,0,25,161
2024-03-11,SKU-004,141.0,0,29,69
2024-03-11,SKU-005,52.0,0,24,51
2024-03-11,SKU-006,0.0,134,28,307
2024-03-11,SKU-007,45.0,50,38,276
2024-03-11,SKU-008,59.0,0,31,37
2024-03-11,SKU-010,71.0,67,27,121
2024-03-11,SKU-011,99.0,0,25,27
2024-03-11,SKU-012,150.0,0,41,103
2024-03-11,SKU-013,107.0,150,14,181
2024-03-11,SKU-014,133.0,0,7,94
2024-03-11,SKU-015,135.0,0,11,72
2024-03-11,SKU-016,111.0,59,11,151
2024-03-11,SKU-018,109.0,0,8,75
2024-03-11,SKU-019,117.0,0,8,25
2024-03-11,SKU-020,86.0,102,12,100
2024-03-11,SKU-021,83.0,0,14,28
2024-03-11,SKU-024,57.0,0,11,44
2024-03-11,SKU-025,164.0,0,12,131
2024-03-11,SKU-026,96.0,0,10,76
2024-03-11,SKU-027,117.0,0,7,31
2024-03-11,SKU-028,42.0,0,17,16
2024-03-11,SKU-032,8.0,85,19,264
2024-03-11,SKU-033,26.0,139,18,208
2024-03-11,SKU-034,179.0,55,13,208
2024-03-11,SKU-036,34.0,144,17,190
2024-03-11,SKU-037,49.0,84,16,54
2024-03-11,SKU-038,40.0,50,19,57
2024-03-11,SKU-040,91.0,0,15,22
2024-03-11,SKU-041,113.0,0,26,8
2024-03-11,SKU-044,125.0,0,18,49
2024-03-11,SKU-045,51.0,0,24,30
2024-03-11,SKU-047,41.0,0,27,25
2024-03-11,SKU-048,105.0,53,24,107
2024-03-11,SKU-051,70.0,0,20,60
2024-03-11,SKU-052,195.0,0,23,134
2024-03-11,SKU-056,30.0,0,29,26
2024-03-11,SKU-058,55.0,81,25,70
2024-03-11,SKU-060,16.0,79,15,177
2024-03-18,SKU-001,37.0,133,21,55
2024-03-18,SKU-003,171.0,0,25,161
2024-03-18,SKU-004,129.0,0,29,69
2024-03-18,SKU-005,45.0,128,24,51
2024-03-18,SKU-006,87.0,139,28,307
2024-03-18,SKU-007,7.0,50,38,276
2024-03-18,SKU-008,49.0,0,31,37
2024-03-18,SKU-010,108.0,109,27,121
2024-03-18,SKU-011,91.0,0,25,27
2024-03-18,SKU-012,134.0,0,41,103
2024-03-18,SKU-013,55.0,150,14,181
2024-03-18,SKU-014,68.0,146,7,94
2024-03-18,SKU-015,100.0,0,11,72
2024-03-18,SKU-016,116.0,134,11,151
2024-03-18,SKU-018,76.0,0,8,75
2024-03-18,SKU-019,107.0,0,8,25
2024-03-18,SKU-020,160.0,0,12,100
2024-03-18,SKU-021,75.0,0,14,28
2024-03-18,SKU-024,39.0,101,11,44
2024-03-18,SKU-025,119.0,66,12,131
2024-03-18,SKU-026,43.0,64,10,76
2024-03-18,SKU-027,100.0,0,7,31
2024-03-18,SKU-028,33.0,0,17,16
2024-03-18,SKU-032,0.0,85,19,264
2024-03-18,SKU-033,114.0,64,18,208
2024-03-18,SKU-034,154.0,117,13,208
2024-03-18,SKU-036,0.0,144,17,190
2024-03-18,SKU-037,32.0,84,16,54
2024-03-18,SKU-038,76.0,0,19,57
2024-03-18,SKU-040,82.0,0,15,22
2024-03-18,SKU-041,111.0,0,26,8
2024-03-18,SKU-044,115.0,0,18,49
2024-03-18,SKU-045,42.0,0,24,30
2024-03-18,SKU-047,36.0,0,27,25
2024-03-18,SKU-048,85.0,53,24,107
2024-03-18,SKU-051,61.0,0,20,60
2024-03-18,SKU-052,169.0,0,23,134
2024-03-18,SKU-056,25.0,121,29,26
2024-03-18,SKU-058,43.0,81,25,70
2024-03-18,SKU-060,0.0,79,15,177
2024-03-25,SKU-001,21.0,133,21,55
2024-03-25,SKU-003,140.0,52,25,161
2024-03-25,SKU-004,123.0,0,29,69
2024-03-25,SKU-005,32.0,128,24,51
2024-03-25,SKU-006,36.0,139,28,307
2024-03-25,SKU-007,0.0,50,38,276
2024-03-25,SKU-008,42.0,0,31,37
2024-03-25,SKU-010,89.0,109,27,121
2024-03-25,SKU-011,80.0,0,25,27
2024-03-25,SKU-012,121.0,0,41,103
2024-03-25,SKU-013,150.0,105,14,181
2024-03-25,SKU-014,165.0,0,7,94
2024-03-25,SKU-015,70.0,128,11,72
2024-03-25,SKU-016,188.0,0,11,151
2024-03-25,SKU-018,48.0,54,8,75
2024-03-25,SKU-019,97.0,0,8,25
2024-03-25,SKU-020,122.0,0,12,100
2024-03-25,SKU-021,65.0,0,14,28
2024-03-25,SKU-024,,0,11,44
2024-03-25,SKU-025,137.0,0,12,131
2024-03-25,SKU-026,69.0,85,10,76
2024-03-25,SKU-027,84.0,0,7,31
2024-03-25,SKU-028,28.0,0,17,16
2024-03-25,SKU-032,30.0,81,19,264
2024-03-25,SKU-033,47.0,64,18,208
2024-03-25,SKU-034,204.0,114,13,208
2024-03-25,SKU-036,85.0,125,17,190
2024-03-25,SKU-037,99.0,0,16,54
2024-03-25,SKU-038,68.0,0,19,57
2024-03-25,SKU-040,77.0,0,15,22
2024-03-25,SKU-041,109.0,0,26,8
2024-03-25,SKU-044,105.0,0,18,49
2024-03-25,SKU-045,,0,24,30
2024-03-25,SKU-047,30.0,0,27,25
2024-03-25,SKU-048,61.0,53,24,107
2024-03-25,SKU-051,41.0,60,20,60
2024-03-25,SKU-052,144.0,0,23,134
2024-03-25,SKU-056,20.0,121,29,26
2024-03-25,SKU-057,122.0,0,31,82
2024-03-25,SKU-058,113.0,0,25,70
2024-03-25,SKU-060,37.0,63,15,177
2024-04-01,SKU-001,140.0,0,21,55
2024-04-01,SKU-003,110.0,52,25,161
2024-04-01,SKU-004,109.0,0,29,69
2024-04-01,SKU-005,19.0,128,24,51
2024-04-01,SKU-006,0.0,139,28,307
2024-04-01,SKU-007,0.0,50,38,276
2024-04-01,SKU-008,38.0,0,31,37
2024-04-01,SKU-010,66.0,109,27,121
2024-04-01,SKU-011,73.0,0,25,27
2024-04-01,SKU-012,,0,41,103
2024-04-01,SKU-013,90.0,105,14,181
2024-04-01,SKU-014,,0,7,94
2024-04-01,SKU-015,174.0,0,11,72
2024-04-01,SKU-016,125.0,88,11,151
2024-04-01,SKU-018,64.0,132,8,75
2024-04-01,SKU-019,80.0,0,8,25
2024-04-01,SKU-020,82.0,115,12,100
2024-04-01,SKU-021,57.0,0,14,28
2024-04-01,SKU-024,99.0,0,11,44
2024-04-01,SKU-025,82.0,68,12,131
2024-04-01,SKU-026,118.0,0,10,76
2024-04-01,SKU-027,69.0,0,7,31
2024-04-01,SKU-028,21.0,0,17,16
2024-04-01,SKU-032,0.0,81,19,264
2024-04-01,SKU-033,,58,18,208
2024-04-01,SKU-034,243.0,0,13,208
2024-04-01,SKU-036,30.0,125,17,190
2024-04-01,SKU-037,89.0,0,16,54
2024-04-01,SKU-038,60.0,0,19,57
2024-04-01,SKU-040,64.0,0,15,22
2024-04-01,SKU-041,108.0,0,26,8
2024-04-01,SKU-044,95.0,0,18,49
2024-04-01,SKU-045,34.0,0,24,30
2024-04-01,SKU-047,20.0,127,27,25
2024-04-01,SKU-048,92.0,123,24,107
2024-04-01,SKU-051,27.0,60,20,60
2024-04-01,SKU-052,115.0,64,23,134
2024-04-01,SKU-056,18.0,121,29,26
2024-04-01,SKU-057,114.0,0,31,82
2024-04-01,SKU-058,107.0,0,25,70
2024-04-01,SKU-060,0.0,63,15,177
2024-04-08,SKU-001,128.0,0,21,55
2024-04-08,SKU-003,73.0,52,25,161
2024-04-08,SKU-004,97.0,0,29,69
2024-04-08,SKU-005,143.0,0,24,51
2024-04-08,SKU-006,0.0,139,28,307
2024-04-08,SKU-007,0.0,50,38,276
2024-04-08,SKU-008,36.0,71,31,37
2024-04-08,SKU-010,152.0,0,27,121
2024-04-08,SKU-011,68.0,0,25,27
2024-04-08,SKU-012,97.0,50,41,103
2024-04-08,SKU-013,142.0,98,14,181
2024-04-08,SKU-014,47.0,68,7,94
2024-04-08,SKU-015,139.0,0,11,72
2024-04-08,SKU-016,151.0,0,11,151
2024-04-08,SKU-018,155.0,0,8,75
2024-04-08,SKU-019,66.0,0,8,25
2024-04-08,SKU-020,157.0,0,12,100
2024-04-08,SKU-021,47.0,0,14,28
2024-04-08,SKU-024,78.0,0,11,44
2024-04-08,SKU-025,99.0,82,12,131
2024-04-08,SKU-026,80.0,0,10,76
2024-04-08,SKU-027,46.0,0,7,31
2024-04-08,SKU-028,16.0,0,17,16
2024-04-08,SKU-032,13.0,86,19,264
2024-04-08,SKU-033,0.0,58,18,208
2024-04-08,SKU-034,176.0,58,13,208
2024-04-08,SKU-036,109.0,117,17,190
2024-04-08,SKU-037,68.0,0,16,54
2024-04-08,SKU-038,46.0,90,19,57
2024-04-08,SKU-040,53.0,0,15,22
2024-04-08,SKU-041,104.0,0,26,8
2024-04-08,SKU-044,80.0,0,18,49
2024-04-08,SKU-045,27.0,146,24,30
2024-04-08,SKU-047,16.0,127,27,25
2024-04-08,SKU-048,61.0,123,24,107
2024-04-08,SKU-051,67.0,0,20,60
2024-04-08,SKU-052,86.0,64,23,134
2024-04-08,SKU-053,83.0,52,23,296
2024-04-08,SKU-056,11.0,121,29,26
2024-04-08,SKU-057,103.0,0,31,82
2024-04-08,SKU-058,91.0,0,25,70
2024-04-08,SKU-060,19.0,58,15,177
2024-04-15,SKU-001,114.0,0,21,55
2024-04-15,SKU-003,96.0,135,25,161
2024-04-15,SKU-004,91.0,0,29,69
2024-04-15,SKU-005,133.0,0,24,51
2024-04-15,SKU-006,91.0,103,28,307
2024-04-15,SKU-007,7.0,149,38,276
2024-04-15,SKU-008,30.0,71,31,37
2024-04-15,SKU-010,120.0,103,27,121
2024-04-15,SKU-011,60.0,0,25,27
2024-04-15,SKU-012,86.0,50,41,103
2024-04-15,SKU-013,84.0,98,14,181
2024-04-15,SKU-014,52.0,143,7,94
2024-04-15,SKU-015,100.0,0,11,72
2024-04-15,SKU-016,93.0,87,11,151
2024-04-15,SKU-018,112.0,0,8,75
2024-04-15,SKU-019,45.0,0,8,25
2024-04-15,SKU-020,122.0,0,12,100
2024-04-15,SKU-021,39.0,0,14,28
2024-04-15,SKU-024,58.0,0,11,44
2024-04-15,SKU-025,124.0,135,12,131
2024-04-15,SKU-026,33.0,60,10,76
2024-04-15,SKU-027,29.0,93,7,31
2024-04-15,SKU-028,14.0,52,17,16
2024-04-15,SKU-032,0.0,86,19,264
2024-04-15,SKU-033,11.0,127,18,208
2024-04-15,SKU-034,169.0,128,13,208
2024-04-15,SKU-036,56.0,117,17,190
2024-04-15,SKU-037,52.0,97,16,54
2024-04-15,SKU-038,33.0,90,19,57
2024-04-15,SKU-040,45.0,0,15,22
2024-04-15,SKU-041,,0,26,8
